,property_type,id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,Predicciones,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,,,Hola,property_type
availability_365,0.013764989,0.074133739,,0.011264885,0.02161377,0.004981577,0.023157452,,0.001103926,0.02001922,0.013764989,0.000468757,0.081862038,0.08510963,0.357151875,0.447567107,1,0.053610404,0.027747708,0.004723848,0.059724604,0.040454837,0.010284147,0.040291843,0.007643657,0.018938649,0.035937601,0.003315939,,,review_scores_location,0.01502554
number_of_reviews,0.052928042,0.306655103,,0.111899702,0.02055395,0.018009692,0.019119047,,0.014287426,0.039588754,0.052928042,0.080541451,0.148044971,0.14732403,0.176008916,0.144275016,0.053610404,1,0.414219352,0.211861084,0.037475103,0.187564444,0.202764939,0.181915163,0.315546731,0.130505023,0.175903923,0.306116121,,,availability_365,0.013764989
number_of_reviews_ltm,1.04E-05,0.098251338,,0.153615322,0.038602894,0.041066183,0.012690575,,0.022585666,0.016321257,1.04E-05,0.100881808,0.143991044,0.116575542,0.15416091,0.096423238,0.027747708,0.414219352,1,0.420533819,0.016574019,0.128664639,0.161897899,0.14402062,0.25174306,0.127806413,0.119396591,0.57169954,,,review_scores_checkin,0.011224601
number_of_reviews_l30d,0.025756099,0.008389881,,0.120959482,0.015203674,0.020361156,0.021103126,,0.010209592,0.017470451,0.025756099,0.102394745,0.077734539,0.052258291,0.088115565,0.047757945,0.004723848,0.211861084,0.420533819,1,0.051147216,0.072600158,0.081643237,0.062215075,0.134784854,0.054254781,0.035580785,0.41963791,,,host_acceptance_rate,0.007794378
review_scores_rating,0.005292392,0.047833988,,0.055333566,0.084625854,0.093850339,0.029942595,,0.020228405,0.016652269,0.005292392,0.146854123,0.096584274,0.065644714,0.103092974,0.084716152,0.059724604,0.037475103,0.016574019,0.051147216,1,0.59474755,0.515692347,0.477245045,0.305731224,0.312321747,0.643752905,0.02671411,,,reviews_per_month,0.006883107
review_scores_accuracy,0.019972623,0.140820595,,0.032065675,0.074420231,0.084075269,0.037790787,,0.003834812,0.003446742,0.019972623,0.147008848,0.03936135,0.00127509,0.003477559,0.000177289,0.040454837,0.187564444,0.128664639,0.072600158,0.59474755,1,0.487326916,0.44915945,0.383162929,0.264897763,0.580812324,0.088943419,,,review_scores_cleanliness,0.006250332
review_scores_cleanliness,0.006250332,0.190437515,,0.018025138,0.065121437,0.078620846,0.033850814,,0.005250884,0.010820493,0.006250332,0.130778724,0.012629816,0.020200168,0.019981515,0.014845498,0.010284147,0.202764939,0.161897899,0.081643237,0.515692347,0.487326916,1,0.383649216,0.347303303,0.220665853,0.515993783,0.123839858,,,review_scores_rating,0.005292392
review_scores_checkin,0.011224601,0.082849486,,0.021212174,0.067833811,0.079711613,0.002161232,,0.014350248,0.018520751,0.011224601,0.092068095,0.042589531,0.004523881,0.010344435,0.01688826,0.040291843,0.181915163,0.14402062,0.062215075,0.477245045,0.44915945,0.383649216,1,0.423541567,0.278568278,0.463586784,0.132870874,,,minimum_nights,0.004291787
review_scores_communication,0.034573989,0.263375266,,0.080580619,0.052824863,0.058397693,0.007632989,,0.006068818,0.034617023,0.034573989,0.09307952,0.05722573,0.058157083,0.089254806,0.073447379,0.007643657,0.315546731,0.25174306,0.134784854,0.305731224,0.383162929,0.347303303,0.423541567,1,0.189360881,0.385364165,0.176359301,,,host_listings_count,0.001906367
review_scores_location,0.01502554,0.037155762,,0.035405235,0.031139169,0.024307262,0.00619395,,0.021362422,0.031412926,0.01502554,0.169950624,0.049366214,0.034812434,0.009328419,0.013952496,0.018938649,0.130505023,0.127806413,0.054254781,0.312321747,0.264897763,0.220665853,0.278568278,0.189360881,1,0.332534832,0.109743975,,,number_of_reviews_ltm,1.04E-05
review_scores_value,0.016453179,0.145331569,,0.015640759,0.0700302,0.086021768,0.05614129,,0.034310834,0.010285387,0.016453179,0.156694616,0.030389307,0.003845639,0.026056931,0.030574403,0.035937601,0.175903923,0.119396591,0.035580785,0.643752905,0.580812324,0.515993783,0.463586784,0.385364165,0.332534832,1,0.080871802,,,host_response_rate,
reviews_per_month,0.006883107,0.023652359,,0.136445797,0.051536725,0.053657109,0.026141692,,0.014054999,0.02479668,0.006883107,0.118439883,0.097723705,0.05163159,0.127078818,0.076902225,0.003315939,0.306116121,0.57169954,0.41963791,0.02671411,0.088943419,0.123839858,0.132870874,0.176359301,0.109743975,0.080871802,1,,,bathrooms,
